video_id,class,sequence_length
12332,1169,77
12335,1169,64
12311,643,62
12338,643,90
12314,694,38
12316,1169,38
12317,1169,46
12318,694,39
12320,643,86
67519,643,36
12324,643,62
12326,694,63
12327,1169,40
12387,71,38
12391,71,101
12392,71,68
12393,71,47
12396,71,55
12400,167,58
12408,167,83
65392,167,84
67521,167,48
12405,167,55
12407,167,73
12411,167,66
65393,464,82
12415,464,74
12416,464,83
12418,464,43
65394,286,78
12593,286,75
12584,286,58
12586,286,112
12589,286,26
12590,286,26
12591,286,76
12592,286,58
12602,757,102
12603,757,45
12604,757,40
12607,757,58
12609,757,33
12610,757,64
12636,416,43
67523,416,41
12637,416,28
12638,416,50
12641,416,79
12648,1045,49
12649,1045,128
12650,1045,87
12654,1045,36
12655,1045,53
12656,1045,70
12674,746,33
65397,746,52
12675,906,79
12676,746,78
12677,746,55
12680,746,81
12694,784,24
12703,784,46
12704,784,92
12696,784,76
12755,418,103
12757,418,40
12758,418,51
12759,418,45
12806,115,35
12809,115,103
12810,115,33
12812,115,72
12815,115,77
12823,1214,53
12824,1214,53
12825,1214,55
12826,1214,75
65398,198,58
12863,198,74
12855,198,28
12857,198,24
12861,198,57
12870,906,29
12878,906,56
12879,906,76
12871,906,67
12872,906,86
12873,906,33
12874,906,78
12877,906,48
12941,703,43
12942,703,101
12943,703,78
12946,703,62
12947,703,63
12967,130,29
12975,130,63
12976,130,48
67525,130,59
12969,130,67
12970,130,32
12971,130,73
12972,130,32
12986,449,38
12987,449,78
12988,449,55
12990,449,36
13015,258,52
13021,258,16
13023,1083,61
13024,258,41
13026,1083,25
13027,258,50
13040,1004,52
13042,1004,56
13043,1004,36
13044,1004,86
13047,1004,126
13048,1004,65
13049,1004,72
13087,241,76
13093,241,33
13094,241,80
13106,402,103
13109,402,68
13110,402,44
13111,114,44
13112,114,89
13113,114,57
13114,114,58
13133,897,46
13135,897,86
13136,897,30
13137,897,37
13141,897,16
65400,897,75
65401,897,50
13143,897,43
13148,897,63
13134,897,75
13154,1011,46
68029,1011,87
13158,1011,72
13159,1011,55
67527,1011,61
13164,1011,58
13165,1011,69
13166,1011,75
13169,603,54
69280,603,69
13179,603,49
13180,603,64
67526,603,47
13182,603,72
13173,603,68
13174,603,36
13178,603,55
69281,105,66
65403,105,77
13214,105,76
13197,105,27
13217,901,63
13198,901,28
13202,105,64
13203,901,55
13205,105,80
13196,105,27
13206,901,79
13208,105,49
13222,1223,38
13223,1223,109
13224,1223,41
13225,1223,79
13228,1223,79
13244,648,72
13245,648,34
13246,648,33
13247,648,76
13250,648,42
13252,648,65
13253,648,63
13258,1152,41
13269,1152,67
13270,1152,80
13271,1152,77
65405,1152,73
67528,1152,63
13276,1152,57
13277,1152,54
13267,1152,46
13268,1152,29
13309,729,46
69282,729,74
13337,729,68
13326,729,77
65408,729,66
13323,729,57
67530,729,43
13333,729,28
13311,1007,27
13320,1007,64
65407,1007,81
13312,1007,58
13317,1007,54
13318,1007,53
13319,1007,63
13357,460,55
13359,460,62
13350,460,86
13351,460,31
13355,460,34
13407,1321,46
13423,1321,53
13414,1321,103
13424,1321,63
13417,1321,65
13418,1321,56
13420,1321,28
13455,675,46
13456,675,68
13457,675,27
13458,675,73
13461,675,72
13462,675,78
13463,675,63
13464,675,60
13467,673,46
13473,1318,39
13474,1318,54
13475,1318,73
65411,673,69
67532,673,53
13477,673,54
13478,1318,65
13472,673,43
13498,1025,54
65412,1025,75
13499,1025,99
13500,1025,68
13503,1025,63
13507,1025,49
13508,1025,59
13513,22,58
65413,22,51
13530,22,32
13531,22,32
13534,22,42
13535,22,69
13536,22,68
13542,821,38
13546,821,86
13547,821,55
13548,821,55
65414,821,58
67534,821,61
13552,821,74
13553,821,62
13544,821,69
13545,821,48
13604,935,52
13618,935,98
13619,935,50
13621,935,72
13624,935,86
65415,967,73
68592,967,39
13647,967,67
13648,967,59
13633,967,80
13634,967,81
13635,967,89
13636,967,111
13630,967,90
13639,967,32
67535,967,53
13640,967,51
13643,967,64
13646,967,61
13681,774,33
69283,774,68
13697,774,39
13698,774,40
13701,774,55
13702,774,44
13703,774,76
13704,774,61
13705,774,66
13706,774,92
13707,774,124
13708,774,74
13696,774,73
13740,223,72
13732,223,41
13733,223,36
13734,223,44
13737,223,33
13743,794,33
67537,794,57
13744,794,93
13745,794,42
13748,794,43
13749,794,43
13750,794,72
13751,794,65
13805,574,41
13809,574,76
13813,574,63
13800,574,73
13801,574,26
65420,705,80
13820,556,124
13822,556,26
13823,705,99
13850,45,63
13861,45,71
13862,45,53
13863,45,64
13854,45,98
67539,45,49
13855,45,81
13856,45,20
13859,45,61
67541,803,54
13877,803,82
13878,803,67
13879,803,55
13883,803,50
65425,713,57
14011,713,106
67543,713,59
14012,713,55
14015,713,79
14047,139,50
14055,139,61
67544,139,61
14057,139,72
14050,139,59
14051,139,38
14101,1071,63
14102,1071,47
14103,1071,55
14104,1071,21
14107,1071,67
14125,407,38
14126,407,97
14128,407,41
14129,407,73
14132,407,62
14133,407,57
14156,143,46
14158,143,32
14160,143,54
14161,143,53
14172,178,49
14190,178,61
14175,178,43
14176,178,32
14179,178,18
14182,178,28
14183,178,23
65427,178,56
14185,178,78
14186,178,78
14187,178,58
14253,1147,27
14257,1147,18
14261,1147,42
65428,1147,81
14267,1147,73
14254,1147,133
14276,1154,33
14294,1154,79
14296,1154,78
14287,1154,107
14298,1154,69
14288,1154,42
14289,1154,60
14290,1154,53
14311,119,29
65429,119,88
14312,119,35
14313,119,42
14316,119,46
14317,119,56
14318,119,57
14319,119,70
14365,502,46
65431,502,79
14366,502,102
14367,502,55
14370,502,30
14371,502,69
14372,502,64
14373,502,64
14431,912,35
14432,912,100
14433,912,25
14436,912,52
14467,651,23
14472,485,26
14473,485,59
14477,306,76
14478,306,62
14479,715,42
14481,485,35
14482,715,62
14484,485,50
14450,948,35
68652,948,39
14457,948,32
14458,948,31
14459,948,63
65432,948,49
14460,948,68
14461,948,64
14451,838,85
14452,948,63
14453,948,64
66042,180,58
15996,180,98
15997,180,43
14553,180,21
16000,180,78
69289,19,74
14565,19,72
68204,19,46
14566,19,68
14569,19,41
14570,19,64
14571,19,58
14572,19,74
65433,991,81
14577,991,87
14578,991,70
14579,991,38
14582,991,58
14583,991,52
14584,991,79
14601,163,38
14602,163,54
14604,163,60
14605,163,57
14608,163,73
14621,487,52
68032,487,107
68988,487,56
69048,487,123
14628,487,73
14629,487,65
14630,487,64
65434,487,72
14632,487,64
14633,487,91
14622,487,92
14623,487,88
14634,792,52
65436,792,73
67551,792,44
14635,792,73
14638,792,62
14644,338,46
14645,338,108
14646,338,45
14647,338,92
14650,338,84
65438,338,54
65437,338,66
14652,338,62
14656,338,55
14657,338,84
14669,1103,41
69290,1103,59
14673,1103,47
14674,1103,37
14677,1103,47
14678,1103,57
14679,1103,29
14680,1103,31
14671,1103,77
14681,1103,43
14682,1103,79
14683,1103,91
14672,1103,42
65442,20,63
14734,20,28
14728,20,58
14738,20,72
14729,20,42
14732,20,55
68858,772,49
14754,772,33
14755,772,27
14756,772,33
14758,772,71
14759,772,62
14760,772,74
14749,772,65
14752,772,40
14753,772,72
14772,1253,41
14773,1253,64
14774,1253,95
14775,1253,59
14776,1238,58
14780,1051,52
69291,1051,54
14797,1051,23
14799,1051,31
65444,1051,73
14792,1051,63
67553,1051,48
14802,1051,83
14794,1051,48
14795,1051,63
14796,1051,74
14829,433,46
68614,433,42
14844,433,61
14835,433,58
14837,433,54
14838,433,45
14839,433,32
14840,433,62
14855,1142,41
68586,1142,58
68033,1142,108
14899,1142,64
14903,1142,69
14883,1142,22
14884,1142,33
14885,1142,23
14887,1142,53
14888,1142,57
14889,1142,55
14891,1142,55
14895,1142,89
14896,1142,101
14898,1142,79
67554,433,59
14953,433,91
14954,433,33
14955,433,32
14960,27,74
14961,27,94
14964,27,69
14966,27,52
14978,462,89
14979,462,63
14981,462,33
14982,462,76
15017,3,41
15018,3,55
15019,3,53
15021,3,32
15031,373,52
15034,964,30
15035,373,64
15036,373,55
15037,964,40
15038,373,45
65449,373,56
65450,964,63
67555,373,48
67556,964,52
15041,373,81
15042,373,66
15092,481,52
65451,481,76
15102,481,73
15103,481,80
15096,481,79
15097,481,42
15098,481,31
15118,1115,86
15110,1115,72
15120,1115,74
15111,1115,88
15115,1115,55
15116,1115,41
15139,767,85
15140,767,28
15141,767,41
15142,767,71
15145,767,27
15146,767,67
15153,158,43
15164,158,68
15165,158,58
15166,158,73
67557,158,55
15158,158,33
15159,158,40
15160,158,82
15163,158,26
15169,826,68
69292,826,78
15179,826,58
15180,826,80
15172,826,55
15173,826,67
15174,826,14
15175,826,12
15178,826,113
15182,784,33
15192,784,43
15185,784,103
15196,784,28
15209,351,29
15215,351,63
15216,351,55
15217,351,22
15292,1258,35
15300,1258,57
65454,1258,67
15302,1258,83
15295,1258,28
15296,1258,33
15297,1258,42
15317,1106,52
15324,1106,29
15325,1106,42
15326,1106,32
15319,1106,63
15330,1106,38
15331,1106,69
15332,1106,75
15322,1106,27
15323,1106,89
15363,120,33
15365,120,25
15366,120,63
15368,120,53
67559,120,41
15370,120,43
15372,120,58
15373,120,52
15362,120,60
15401,42,63
15405,42,40
15406,42,29
15407,42,57
15429,840,46
15430,840,79
65458,840,48
67560,840,53
15424,840,36
15425,840,42
15426,840,59
15427,840,55
15447,150,52
15448,150,89
15449,150,58
15450,150,46
15473,814,49
15474,814,101
15475,814,29
15476,814,28
15479,814,41
15480,814,49
15481,814,78
15527,128,54
15534,128,28
65460,128,69
67561,128,29
15528,496,71
15529,496,69
15532,128,55
15533,128,29
15546,1127,52
15554,1127,63
15555,1127,60
65461,1127,80
15548,1127,29
15549,1127,57
15550,1127,55
15551,1127,29
15556,77,41
15564,77,74
65462,77,69
67563,77,38
15559,77,80
15560,77,22
15561,77,43
15562,77,59
15576,924,54
15584,924,35
15585,924,95
65464,924,67
15577,924,80
15578,924,35
15581,924,54
15594,695,49
15609,695,49
15610,695,75
65465,695,59
15603,695,68
15604,695,55
15605,695,57
15606,695,51
15631,1314,64
15632,1314,42
15633,1314,67
15634,1314,55
15637,1314,50
15638,1314,61
15647,499,85
65466,499,70
15648,499,58
15649,499,34
15652,499,37
15691,653,41
15695,653,58
15696,653,55
15705,993,54
69294,993,60
15706,993,125
15707,993,103
15710,993,64
15711,993,46
15712,993,75
15713,993,73
15728,885,48
15730,1180,97
15721,1180,80
15731,1180,75
15723,885,95
15725,1180,83
15741,83,46
65468,83,64
15752,83,27
15753,83,33
15755,83,67
15781,512,71
15772,512,73
15773,512,48
15774,512,41
15777,512,75
15778,512,85
15780,512,60
15807,20,46
15815,20,42
15817,20,71
15808,20,94
15809,20,36
15810,20,42
15825,163,35
15833,163,60
65471,163,80
15827,163,40
15828,163,36
15829,163,60
15830,163,55
15840,613,38
15844,613,89
15845,613,68
15848,613,51
15874,144,38
15876,144,99
15877,144,21
15878,144,39
15900,373,64
15901,373,44
15902,964,51
15904,373,45
15906,373,78
15932,1236,38
15940,1236,63
15941,1236,77
65472,1236,72
15935,1236,29
15936,1236,71
15937,1236,55
15938,1236,34
15956,350,49
65474,350,77
67566,350,49
15957,350,49
15962,350,62
16001,838,63
16002,838,90
16004,838,28
16076,218,43
65477,218,64
16081,218,66
67568,218,33
16084,218,55
16085,218,35
16086,218,64
16087,218,84
16095,994,71
16097,994,99
16098,994,47
16099,994,32
16102,994,28
16103,994,64
16104,994,92
65478,154,69
16117,154,80
67569,154,51
16112,154,53
16123,1320,54
16131,1320,45
16132,1320,72
16133,1320,93
16125,1320,108
16126,1320,58
16127,1320,68
16128,456,54
16130,1320,23
16155,433,41
16167,433,56
16168,433,70
65479,433,63
16162,433,31
16164,433,32
16165,433,90
16190,202,35
68034,202,49
68666,202,56
16195,202,52
16198,202,38
16199,202,72
65480,202,42
16200,202,71
16203,202,75
16191,202,111
16192,202,55
16193,202,77
16212,1002,62
16213,1002,63
16214,857,55
16216,1002,43
16220,857,70
16225,467,66
16239,467,71
16231,467,117
16241,467,94
16236,467,29
16237,467,31
16238,467,38
16313,302,71
16314,302,67
16315,302,66
16316,302,71
16319,302,86
16330,1069,86
16323,1069,67
16324,1069,56
16325,1069,73
16328,1069,44
16329,1069,70
16332,430,49
65483,430,55
67570,430,47
16342,430,86
16335,430,35
16336,430,36
16337,430,88
16350,1258,46
16353,1258,24
16354,1258,33
16355,1258,42
16357,1258,56
65484,943,84
16383,943,60
16384,943,68
16385,943,37
16392,1177,35
16394,1177,63
16396,1177,69
16397,1177,45
16402,1177,43
69296,1177,79
16411,1177,73
16412,1177,73
67572,1177,70
16405,1177,60
16406,1177,69
16407,1177,58
16410,1177,63
16427,1131,46
16428,1131,61
16429,1131,95
16430,1131,41
16434,1131,71
16435,1131,65
16436,1131,76
16437,711,38
16441,711,59
16442,711,33
16443,711,38
16447,711,59
16448,711,57
16449,711,54
16450,711,82
16440,711,45
16502,1278,92
16504,1278,63
16506,1278,28
16510,1278,65
65489,613,71
65488,613,57
16525,613,77
16526,613,34
16529,613,53
16530,613,31
16531,613,91
16540,591,43
16542,591,83
16560,1062,109
16561,1062,83
16562,1062,40
16563,1062,30
16567,1062,28
16568,1062,56
16569,1062,78
16581,27,54
16587,27,77
16588,27,55
16590,27,55
16593,27,53
65491,27,52
16594,27,90
16595,27,69
16598,27,84
16585,27,108
16586,27,44
16634,287,58
16640,287,98
16641,287,53
16642,287,47
16645,287,94
16646,287,81
65492,287,66
16635,287,50
16638,287,63
16639,287,81
16699,124,33
16703,124,92
16704,124,26
16705,124,27
16708,124,55
16709,124,72
16803,500,49
65494,500,73
16804,500,74
16805,500,95
16808,500,59
16809,500,32
16810,500,78
16811,500,79
16872,666,94
16873,666,55
16874,666,50
16879,666,53
16880,666,81
16889,365,49
16896,365,55
16897,365,59
65495,365,77
16892,365,29
16894,365,41
16922,23,29
65499,23,47
16925,23,96
16935,23,53
16927,23,74
16928,23,12
16930,23,28
16949,23,29
16951,23,74
16955,23,28
16956,23,63
16957,23,59
16961,432,49
68426,432,32
16966,432,82
16968,432,39
65500,432,41
67577,432,53
16973,432,63
16965,432,109
16980,381,91
65501,381,81
16982,381,53
16984,381,83
16987,381,79
16988,381,69
17007,76,43
68842,76,102
17015,76,93
17016,76,89
17019,76,41
17020,76,47
65503,76,50
65504,76,50
17024,76,64
17025,76,57
17026,76,87
17014,76,75
17039,1173,71
17041,1173,38
17042,1173,89
17076,807,54
69298,807,69
68632,807,137
17097,807,74
17086,807,66
17087,807,81
17088,807,55
17090,807,44
65506,807,78
65507,807,59
17083,807,62
67578,807,31
17096,807,60
17122,1262,66
69299,1262,74
17151,1262,101
17152,1262,74
17144,1262,85
67580,1262,69
17145,1262,65
17146,1262,71
17123,1328,35
17130,1328,37
17132,1328,42
17133,1328,38
17124,1328,94
17125,1328,37
17126,1328,38
17127,1328,34
17159,8,31
17160,8,81
17161,8,53
17163,8,109
17165,8,94
17166,8,79
17157,8,29
17158,8,28
65518,1211,47
17298,1211,61
17300,1211,43
68356,1211,38
17302,1211,49
17303,1211,67
69300,65,67
17206,65,53
17208,65,23
17209,65,54
17214,65,69
17317,1263,66
68038,1263,54
17327,1263,108
17329,1263,55
17332,1263,83
17333,1263,65
65520,1263,59
17324,1263,87
17335,1263,77
17336,1263,105
17325,1263,72
17326,1263,46
17352,294,85
17353,294,68
17354,294,41
17355,294,99
17358,294,56
17359,294,80
17360,294,52
65522,294,78
17362,294,99
17363,294,43
17364,294,27
17365,294,80
17374,849,46
65523,849,50
17377,849,52
17378,849,25
17381,849,35
17382,849,81
17383,849,68
17388,748,38
17399,748,53
65524,748,84
17390,748,48
17391,748,44
17393,748,55
17394,748,51
17395,748,45
17422,653,41
65526,653,52
17428,653,55
17429,653,64
17430,653,37
17433,653,38
17434,653,150
17435,653,69
17455,653,58
17458,653,85
17459,653,35
17460,653,45
17461,653,88
17511,1249,60
17520,1249,68
17521,1249,75
17512,1249,72
17518,1249,89
17529,1164,71
17530,1164,92
17531,1164,55
17532,1164,35
17535,1164,57
17557,868,104
17559,868,72
17562,868,74
17563,868,62
17564,868,79
65531,83,53
17600,83,33
17601,83,115
17602,83,53
17594,83,66
17605,83,69
17607,83,75
17595,83,42
17596,83,80
17588,47,80
17589,47,84
65532,47,83
67590,47,52
17583,47,47
17584,47,29
17585,47,40
17586,47,31
17624,950,49
17633,950,43
17634,950,76
17635,950,83
65533,950,53
17627,950,32
67591,950,40
17628,950,86
65535,977,46
17660,977,31
17661,977,65
17664,977,63
17665,977,82
17655,977,40
17656,977,78
17659,977,28
69302,1308,66
65539,1308,46
68538,1308,133
68042,1308,76
17725,1308,59
17726,1308,65
17727,1308,82
17728,1308,58
17730,1308,69
17731,1308,61
17732,1308,55
17733,1308,79
17711,1308,69
17712,1308,45
17713,1308,77
17714,1308,55
17717,1308,46
17718,1308,58
17709,1308,105
67594,1308,37
17721,1308,42
17722,1308,42
17723,1308,51
17724,1308,26
17751,392,60
68476,1044,47
17761,1044,40
17762,1044,78
17763,1044,55
65542,1044,49
17758,1044,56
17768,1044,48
17771,392,95
17773,1044,85
65544,742,50
17825,742,56
17826,742,45
17827,742,36
17831,742,52
17832,742,77
17821,742,50
17822,742,27
17885,903,74
17877,903,47
17878,903,83
17888,903,62
17883,903,28
17895,725,43
69303,725,79
65547,725,84
67597,725,48
17898,725,24
17899,725,87
17900,725,74
17907,1190,43
17918,1190,76
65548,1190,77
17910,1190,83
17912,1190,65
17913,1190,55
17914,1190,32
17919,885,49
69304,885,54
65549,885,47
17930,885,91
17931,885,46
17933,885,76
17937,885,74
17945,1047,38
69305,1047,66
17955,1047,73
65551,1047,48
17949,1047,67
17950,1047,55
17951,1047,48
17952,1047,106
17958,462,27
65552,462,82
17959,462,86
17960,462,78
17965,462,83
17968,58,79
17976,58,26
17969,58,63
17974,58,42
17975,58,40
17981,1156,41
17995,1156,72
65553,1156,49
17988,1156,69
17992,1156,48
17993,1156,61
17994,1156,68
18027,155,43
18028,155,53
18029,155,29
18030,155,71
18033,155,71
18034,155,71
18035,155,59
18036,155,72
18038,79,66
18039,453,85
18040,1103,31
18041,453,77
18042,453,79
18043,453,79
65554,1088,48
18066,1088,63
18067,204,60
18058,1088,64
18068,1088,82
18061,1088,21
18062,1088,62
18063,1088,63
18064,1088,61
18090,1149,46
18091,1149,69
18092,1149,65
18094,1149,25
18107,870,21
66043,870,51
18533,870,127
18534,870,38
18537,870,79
18108,531,41
18117,531,58
18118,531,76
18109,531,109
18113,531,38
18137,205,94
18144,205,74
65588,205,80
65589,205,74
18139,205,35
18140,205,66
18141,205,38
18142,205,38
69306,197,58
18160,197,75
18161,197,71
65590,197,49
18156,197,57
18158,197,21
18159,197,57
18164,91,33
18183,91,57
18184,91,79
18167,91,59
18166,91,87
18177,91,55
18178,91,42
18181,91,64
18190,217,35
18202,217,74
18203,217,56
